Date,Transit Agency,Type ,Service Class,Discount,Amount,Balance
2/28/2018 8:53:34 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.34 
2/27/2018 5:43:14 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$20.34 
2/27/2018 8:55:50 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$23.34 
2/26/2018 9:03:26 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$29.34 
2/25/2018 7:47:59 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$12.34 
2/23/2018 5:27:21 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$15.34 
2/23/2018 8:31:21 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$18.34 
2/22/2018 5:38:54 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$21.34 
2/22/2018 8:38:23 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$24.34 
2/21/2018 6:11:36 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$27.34 
2/21/2018 8:54:38 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$10.34 
2/20/2018 5:47:09 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.34 
2/20/2018 8:46:11 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.34 
2/16/2018 5:21:24 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.34 
2/16/2018 8:48:56 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.34 
2/15/2018 8:59:06 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.34 
2/14/2018 5:12:42 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.34 
2/14/2018 12:07:18 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.34 
2/13/2018 7:51:45 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$1.50 ,$17.34 
2/13/2018 7:46:38 AM,Union Pearson Express,Fare Payment,,$0.00 ,($4.23),$18.84 
2/13/2018 7:24:01 AM,Union Pearson Express,Fare Payment,,$0.00 ,$9.25 ,$14.61 
2/3/2018 11:31:46 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$23.86 
2/3/2018 7:58:27 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$26.86 
1/31/2018 7:07:32 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$29.86 
1/31/2018 10:16:06 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$12.86 
1/30/2018 6:53:38 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$15.86 
1/30/2018 9:18:41 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$18.86 
1/25/2018 2:11:24 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$21.86 
1/25/2018 9:05:58 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$24.86 
1/24/2018 11:52:45 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$27.86 
1/24/2018 9:24:37 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$10.86 
1/23/2018 6:09:00 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.86 
1/23/2018 10:28:46 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.86 
1/22/2018 11:23:43 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.86 
1/22/2018 10:16:45 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.86 
1/19/2018 4:47:01 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.86 
1/19/2018 2:16:56 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.86 
1/19/2018 8:28:53 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.86 
1/18/2018 8:25:22 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.86 
1/18/2018 9:44:41 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.86 
1/17/2018 7:11:11 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$20.86 
1/17/2018 10:27:18 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$23.86 
1/15/2018 10:31:28 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$26.86 
1/15/2018 5:47:23 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$29.86 
1/15/2018 10:14:17 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$12.86 
1/11/2018 7:27:48 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$15.86 
1/11/2018 9:58:32 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$18.86 
1/10/2018 8:26:52 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$21.86 
1/10/2018 10:10:32 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$24.86 
1/8/2018 5:52:34 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$27.86 
1/8/2018 9:48:59 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$10.86 
1/3/2018 6:26:34 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.86 
1/3/2018 10:43:14 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.86 
